Category,ID,Gene,Function
NADH dehydrogenase,LFTS_01584,NUOH,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone (By similarity)
NADH dehydrogenase,LFTS_01585,NUOI,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)
NADH dehydrogenase,LFTS_01586,NUOJ,NADH dehydrogenase subunit j
NADH dehydrogenase,LFTS_01587,NUOK,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)
NADH dehydrogenase,LFTS_01588,NUOL,subunit l
NADH dehydrogenase,LFTS_01589,NUOM,subunit m
NADH dehydrogenase,LFTS_01590,NUON,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)
Nitrogen fixation,LFTS_00638,NIFA,transcriptional regulator, NifA subfamily, Fis Family
Nitrogen fixation,LFTS_02040,NIFB,Nitrogenase cofactor biosynthesis protein NifB
Nitrogen fixation,LFTS_02034,NIFD,Nitrogenase protein alpha chain
Nitrogen fixation,LFTS_02036,NIFE,nitrogenase mofe cofactor biosynthesis protein nife
Nitrogen fixation,LFTS_02033,NIFH,The key enzymatic reactions in nitrogen fixation are catalyzed by the nitrogenase complex, which has 2 components the iron protein and the molybdenum-iron protein (By similarity)
Nitrogen fixation,LFTS_02035,NIFK,nitrogenase molybdenum-iron protein beta chain
Nitrogen fixation,LFTS_02037,NIFN,Nitrogenase molybdenum-iron cofactor biosynthesis protein NifN
Nitrogen fixation,LFTS_02045,NIFS,Cysteine desulfurase
Nitrogen fixation,LFTS_02060,NIFV,homocitrate synthase
Nitrogen fixation,LFTS_02055,NIFW,May protect the nitrogenase Fe-Mo protein from oxidative damage (By similarity)
Nitrogen fixation,LFTS_02038,NIFX,Nitrogen fixation protein NifX
Nitrogen fixation,LFTS_02048,NIFZ,nifz family
Nitrogen fixation,LFTS_00906,NTRX,sigma54 specific transcriptional regulator Fis family
Nitrogen fixation,LFTS_00905,NTRY,Histidine kinase
Oxidative stress response,LFTS_00438,AHPC,Alkyl hydroperoxide reductase
Oxidative stress response,LFTS_01211,BCP,alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
Oxidative stress response,LFTS_01351,BCP,alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
Oxidative stress response,LFTS_01851,COBS,Joins Ado-cobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin) (By similarity)
Oxidative stress response,LFTS_02293,DEGP,protease
Oxidative stress response,LFTS_01861,ICD,Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate (By similarity)
Oxidative stress response,LFTS_00440,PERR,regulator Fur family
Oxidative stress response,LFTS_01745,TRXA,Thioredoxin
Oxidative stress response,LFTS_00738,TRXB,thioredoxin reductase
Oxidative stress response,LFTS_01193,TRXC,K03672 thioredoxin 2 EC 1.8.1.8
Polysaccharide,LFTS_00628,BCSA,Cellulose synthase catalytic subunit
Polysaccharide,LFTS_00630,BCSA,Cellulose synthase catalytic subunit
Polysaccharide,LFTS_01629,BCSA,Cellulose synthase catalytic subunit
Polysaccharide,LFTS_00627,BCSB,Cellulose synthase regulator protein
Polysaccharide,LFTS_01628,BCSB,Cellulose synthase regulator protein
Polysaccharide,LFTS_00631,BCSC,cellulose synthase
Polysaccharide,LFTS_00632,BCSC,cellulose synthase
Polysaccharide,LFTS_01627,BCSC,cellulose synthase
Polysaccharide,LFTS_00626,BCSZ,endo-1,4-d-glucanase (EC 3.2.1.4)
Polysaccharide,LFTS_01774,LPTB,ABC transporter
Polysaccharide,LFTS_02223,LPTF,permease YjgP YjgQ family protein
Polysaccharide,LFTS_02222,LPTG,permease YjgP YjgQ family protein
Polysaccharide,LFTS_02169,LPXA,Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
Polysaccharide,LFTS_02237,LPXA,Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
Polysaccharide,LFTS_02172,LPXB,Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
Polysaccharide,LFTS_00810,LPXC,involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
Polysaccharide,LFTS_02167,LPXD,Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
Polysaccharide,LFTS_02176,LPXK,Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA) (By similarity)
Polysaccharide,LFTS_00259,OSTA,Organic solvent tolerance protein
Polysaccharide,LFTS_02118,PELA,signal peptide protein
Polysaccharide,LFTS_02123,PELA,signal peptide protein
Polysaccharide,LFTS_00113,RFAF,heptosyltransferase ii
Polysaccharide,LFTS_02186,RFAF,heptosyltransferase ii
Polysaccharide,LFTS_02189,RFAF,heptosyltransferase ii
Polysaccharide,LFTS_01378,RFBA,Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis (By similarity)
Polysaccharide,LFTS_01377,RFBB,dTDP-glucose 4,6-dehydratase
Polysaccharide,LFTS_01379,RFBC,Dtdp-4-dehydrorhamnose 3,5-epimerase
Polysaccharide,LFTS_00118,RFBD,(ABC) transporter
Polysaccharide,LFTS_02520,RFBD,Dtdp-4-dehydrorhamnose reductase
